Pressure (bar),10.1002chem.200902144.Isotherm1-1-preexp.json,10.1002chem.200902144.Isotherm4.json,10.1016j.ces.2011.09.009.isotherm6.json,10.1016j.memsci.2011.09.040.Isotherm2.json,10.1016j.seppur.2019.115850.Isotherm8.json,10.1021jp206959k.Isotherm6.json,Consensus_Mean_mmol_g,Consensus_Std_mmol_g,Consensus_SEM_mmol_g,Consensus_CI_Lower_mmol_g,Consensus_CI_Upper_mmol_g
5.967392335073063,1.4686487207757588,1.2622087009866803,,,,1.454586585186653,1.461617652981206,0.00703106779455287,0.004971715716510677,1.3984460151958842,1.5247892907665277
7.126720384606345,1.688493497775041,1.4609273576339943,,,,1.6788267118903062,1.6836601048326736,0.004833392942367398,0.0034177249256871866,1.640233792194085,1.7270864174712621
8.511279397844687,1.9293284663779373,1.6818957414005664,,,,1.9266025569507703,1.927965511664354,0.0013629547135834974,0.0009637545204250595,1.9157198494121712,1.9402111739165366
10.16482660729179,2.1895949312272207,1.9246907416209473,,,,2.196937539991023,2.193266235609122,0.003671304381901219,0.0025960042242422383,2.1602808744392576,2.226251596778986
12.139620276414835,2.4667077090401346,2.187948141576329,,,,2.487784890608159,2.477246299824147,0.010538590784012314,0.007451909007525161,2.3825608182972697,2.571931781351024
14.49807125581711,2.7570668526102406,2.4692599411836276,,,,2.7959662008298296,2.776516526720035,0.01944967410979448,0.013752996454904102,2.6017681380245987,2.9512649154154715
17.314715399057476,3.0561841498172377,2.76516120825518,,,,3.117221340022784,3.086702744920011,0.030518595102773105,0.02157990554945742,2.8125040468157376,3.360901443024284
20.67856917381813,3.3589264871407485,3.071231368088386,,,,,3.3589264871407485,0.0,0.0,3.3589264871407485,3.3589264871407485
24.69594291452561,3.6598540017944634,3.382317353086422,,,,,3.6598540017944634,0.0,0.0,3.6598540017944634,3.6598540017944634
29.493800625708243,3.953608409698605,3.692861906118535,,,,,3.953608409698605,0.0,0.0,3.953608409698605,3.953608409698605
35.22377251841557,4.235293695245227,3.997296010960363,,,,,4.235293695245227,0.0,0.0,4.235293695245227,4.235293695245227
42.0669470908277,4.500792505456925,,,,,,4.500792505456925,0.0,0.0,4.500792505456925,4.500792505456925
50.23959420068661,4.746976873206025,,,,,,4.746976873206025,0.0,0.0,4.746976873206025,4.746976873206025
60.0,4.97179585879583,,,,,,4.97179585879583,0.0,0.0,4.97179585879583,4.97179585879583
